149104 src=400006AC dst=400009D3 m=400001A3 pk1=4000051D pk2=00040410
149144 src=40000CAC dst=40000A7F m=400001A0 pk1=4000051D pk2=02800408
149164 src=400006D1 dst=40000A7F m=400001A2 pk1=4000051D pk2=08201080
1491A4 src=4000070F dst=40000D07 m=400001A5 pk1=4000051D pk2=3C404004
1491C4 src=4000070F dst=40000D07 m=400001A5 pk1=4000051D pk2=00100104
1491E4 src=4000070F dst=40000D07 m=400001A5 pk1=4000051D pk2=00200204
149204 src=40000717 dst=400009BA m=400001A5 pk1=4000051E pk2=03048002
149224 src=40000718 dst=40000A45 m=400001A5 pk1=4000051D pk2=7F800202
149264 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=20010010
149284 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=0F010010
1492A4 src=40000614 dst=40000B41 m=400001A5 pk1=400005A8 pk2=0F010010
1492C4 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=C0010010
1492E4 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=0F010008
149304 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=F0010008
149324 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=0F010008
149344 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=F0010008
149364 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=0F010008
149384 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=F0010008
1493A4 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=0F010010
1493C4 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=F0010010
1493E4 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=0F010010
149404 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=F0010010
149424 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=0F010010
149444 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=F0010010
149464 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=70010010
149484 src=4000071F dst=40000A26 m=400001A1 pk1=4000051F pk2=0F108002
1494A4 src=4000071E dst=400009CB m=400001A1 pk1=4000051E pk2=60088002
1494C4 src=4000071E dst=40000A22 m=400001A1 pk1=4000051F pk2=70018002
1494E4 src=4000071E dst=400009CB m=400001A1 pk1=4000051E pk2=03400402
149504 src=400006B8 dst=40000AC1 m=400001A2 pk1=4000051F pk2=FF011004
149524 src=400006F1 dst=40000A75 m=400001A5 pk1=4000051C pk2=C0400880
149564 src=40000614 dst=40000D17 m=400001A2 pk1=4000051F pk2=0F010002
149584 src=4000068C dst=40000803 m=400001A3 pk1=4000024C pk2=F0040008
1495A4 src=4000068C dst=40000D1B m=400001A3 pk1=4000051F pk2=F0040408
1495E4 src=400006F0 dst=40000A7B m=400001A5 pk1=4000051C pk2=30408080
149624 src=40000CD7 dst=40000AC9 m=400001A5 pk1=4000051F pk2=0F101010
149644 src=400006C4 dst=400009EE m=400001A0 pk1=40000520 pk2=80100120
149664 src=400006F0 dst=400009EE m=400001A5 pk1=40000520 pk2=0E801080
149684 src=40000614 dst=40000A45 m=400001A5 pk1=4000051D pk2=FF010002
1496A4 src=40000614 dst=40000AC5 m=400001A5 pk1=4000051F pk2=FF010010
1496C4 src=40000614 dst=40000A90 m=400001A5 pk1=4000051C pk2=FF010002
1496E4 src=40000614 dst=40000B38 m=400001A5 pk1=400005A8 pk2=FF010002
149704 src=400006F1 dst=40000A75 m=400001A5 pk1=4000051C pk2=C0080180
149724 src=400006F1 dst=40000A76 m=400001A5 pk1=4000051C pk2=30048080
149744 src=400006F1 dst=40000A76 m=400001A5 pk1=4000051C pk2=0C024080
1497A4 src=40000614 dst=40000D17 m=400001A4 pk1=4000051F pk2=30010008
1497C4 src=40000CCF dst=40000ADB m=400001A5 pk1=4000051F pk2=0F202008
1497E4 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=F0010008
149804 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=0F010008
149824 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=F0010008
149844 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=0F010008
149864 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=F0010008
149884 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=0F010008
1498A4 src=40000614 dst=40000AD7 m=400001A5 pk1=4000051F pk2=F0010008
149924 src=40000740 dst=400009ED m=400001A0 pk1=40000520 pk2=20100001
149964 src=40000614 dst=40000D17 m=400001A5 pk1=4000051F pk2=07010040
149984 src=40000614 dst=40000A06 m=400001A6 pk1=4000051E pk2=20010001
1499A4 src=40000614 dst=40000B38 m=400001A6 pk1=400005A8 pk2=08010001
1499C4 src=40000614 dst=40000A06 m=400001A6 pk1=4000051E pk2=C0010001
1499E4 src=40000723 dst=40000A0C m=400001A6 pk1=4000051E pk2=7F808001
149A04 src=40000723 dst=40000B3E m=400001A6 pk1=400005A8 pk2=7F800401
